NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
447,62060B,112.83575608,-9.7e-07,0.0,5.7174,50.1297,250.3787,0.0065668,1.6761,159.5693,13.39148628,5574,Unknown,Unknown
461,61015EX,112.6248696,0.00023732,0.0,242.59,67.4992,196.5783,0.0028116,3.6197,356.5136,14.90241135,32279,Unknown,Unknown
475,61015FM,112.79015823,7.064e-05,0.0,295.21,66.2232,45.334,0.0145652,359.6347,0.4612,14.21058785,22799,Unknown,Unknown
503,62068A,112.7916536,-3.2e-07,0.0,0.0,47.4999,242.9212,0.2844181,68.9718,50.5474,7.78160923,77275,Unknown,Unknown
506,62070A,112.67040008,1.17e-06,0.0,16.853,52.0034,219.8942,0.0275819,248.7465,108.3798,13.85674547,15045,Unknown,Unknown
510,62049C,112.72925525,1.1e-06,0.0,11.469,80.5176,19.9151,0.0016459,97.2416,292.0674,13.70004414,12509,Unknown,Unknown
511,62049D,112.8329051,1.18e-06,0.0,12.772,80.4268,248.7824,0.0030997,339.2892,173.1608,13.68501756,12208,Unknown,Unknown
530,61015FU,112.93729509,3.63e-06,0.0,29.627,66.8789,284.7388,0.0073059,114.5272,246.3451,13.99226036,24882,Unknown,Unknown
537,61015FW,112.67072387,2.97e-06,0.0,40.886,67.2285,4.3895,0.0177702,247.3391,130.4736,13.64672728,95787,Unknown,Unknown
543,61015GC,112.70513225,2.49e-06,0.0,36.435,67.0318,204.7554,0.0064158,147.0004,5.7085,13.69039251,17913,Unknown,Unknown
548,61015GH,112.80079392,5.705e-05,0.0,83.506,66.6716,49.7044,0.0093869,78.4159,282.748,14.7340548,34183,Unknown,Unknown
561,61015GT,112.74270307,6.24e-06,0.0,248.63,67.7574,16.8333,0.062769,225.5239,162.1986,12.41192838,88894,Unknown,Unknown
573,63013A,112.94905696,-4.7e-07,0.0,-31.387,42.7643,68.1079,0.401551,359.3097,17.5191,6.39270512,55927,Unknown,Unknown
574,63014A,112.7317286,5e-08,0.0,107.63,87.3293,235.6012,0.0031835,173.9292,186.1954,8.65275245,18141,Unknown,Unknown
575,63013B,112.69948147,1.16e-06,0.0,218.96,42.7869,10.6903,0.4010095,61.8398,342.4476,6.40262242,44905,Unknown,Unknown
589,63014D,112.71501158,-5.1e-07,0.0,-2521.7,87.3299,230.4201,0.0100092,55.7547,305.2741,8.65629565,95743,Unknown,Unknown
608,63014C,112.76408137,-3e-07,0.0,-1543.4,87.3292,233.1891,0.00546,79.9452,280.7558,8.65285671,95713,Unknown,Unknown
622,63030A,112.67556901,-1e-08,0.0,-194.2,88.415,234.4152,0.0032791,119.6616,240.7506,8.57932346,42371,Unknown,Unknown
629,63014G,112.72058361,-4.3e-07,0.0,-2140.4,87.331,231.2474,0.0077952,76.017,284.9337,8.65568328,95781,Unknown,Unknown
630,63030C,112.74099754,5e-08,0.0,142.9,88.4316,226.0407,0.0045704,313.303,46.4015,8.5985941,93869,Unknown,Unknown
631,63030E,112.73428835,3e-08,0.0,0.0,88.4034,240.3745,0.0170968,141.4834,219.8356,8.55878954,92966,Unknown,Unknown
643,61015GU,112.89226965,1.787e-05,0.0,265.31,66.3701,290.361,0.0334606,274.4549,81.8348,13.35561881,5384,Unknown,Unknown
645,61015GW,112.82021296,8.44e-06,0.0,187.95,66.5892,38.6612,0.0411101,7.7037,23.5967,13.0464762,2497,Unknown,Unknown
653,61015HE,112.82740517,1.511e-05,0.0,164.29,67.4515,53.9306,0.0164685,312.4557,75.6339,13.69637267,16030,Unknown,Unknown
657,61015HJ,112.87913288,3.34e-06,0.0,83.933,66.2212,197.0064,0.0343308,241.3778,238.2358,13.11612772,4949,Unknown,Unknown
658,61015HK,112.82574824,8.64e-06,0.0,118.13,65.866,35.0293,0.0349204,50.745,312.4035,13.41115326,321,Unknown,Unknown
660,61015HM,112.97454152,0.00025832,0.0,243.97,66.505,335.7995,0.0018417,154.4312,316.8334,14.93538562,32220,Unknown,Unknown
671,63038C,112.72944373,1.3e-06,0.0,20.383,89.9797,334.1831,0.0041951,114.1048,246.4496,13.4515167,1852,Unknown,Unknown
698,63047D,112.93463144,8.49e-06,0.0,28.49,29.9262,17.5739,0.053252,229.1918,126.129,13.73437152,2122,Unknown,Unknown
700,63047F,112.94104158,7.03e-06,0.0,25.106,30.4802,316.6355,0.0718109,43.4166,322.0761,13.39892791,99378,Unknown,Unknown
703,63049A,112.86879295,7.2e-07,0.0,9.8418,89.9188,73.558,0.0017566,49.5675,338.855,13.49967693,2255,Unknown,Unknown
704,63049B,112.82151883,1.25e-06,0.0,18.866,89.9162,73.8734,0.0036799,69.1233,317.4597,13.47071502,1473,Unknown,Unknown
705,63049C,112.83719557,1.41e-06,0.0,21.311,89.9164,73.8332,0.0034841,27.793,0.2511,13.47609273,1548,Unknown,Unknown
724,63053E,112.93060198,0.00367007,0.0,931.1,78.5374,298.2247,0.0062123,135.5671,225.0567,15.36329456,95810,Unknown,Unknown
728,64001B,112.95764354,1.35e-06,0.0,13.358,69.9098,28.5122,0.0013389,179.8626,180.2486,13.97661604,12095,Unknown,Unknown
730,64001D,112.91819609,9.8e-07,0.0,11.095,69.9039,99.4114,0.0015638,221.3076,163.6282,13.9597676,198,Unknown,Unknown
731,64001E,112.91331638,1.14e-06,0.0,12.18,69.9041,89.9883,0.0015507,217.3777,142.6251,13.96224524,11891,Unknown,Unknown
733,64002A,112.9562563,4.97e-06,0.0,19.511,99.1127,104.0136,0.0034007,111.4233,249.0582,14.33782873,19233,THOR AGENA D R/B,Visual
734,64002B,112.89285158,2.36e-06,0.0,11.05,98.9734,25.5311,0.001398,331.0032,29.0371,14.295364,18871,Unknown,Unknown
735,64002C,112.72733914,2.19e-06,0.0,10.624,98.987,20.301,0.0017579,85.1892,275.1295,14.28431008,18668,Unknown,Unknown
742,64004C,112.78633139,1.29e-06,0.0,24.444,81.4694,40.5556,0.0173032,79.8428,282.2163,13.26223351,96163,Unknown,Unknown
753,63049F,112.86505225,4.37e-06,0.0,62.251,89.9112,76.4291,0.0026805,350.955,37.5849,13.54696505,2364,Unknown,Unknown
813,64031B,112.73377488,1.77e-06,0.0,10.098,99.7794,212.9408,0.0004462,273.8032,86.2633,14.23581368,15510,Unknown,Unknown
815,64031C,112.76532942,3.1e-06,0.0,14.599,99.8157,6.4597,0.0012318,46.5936,313.6264,14.28277068,16098,Unknown,Unknown
870,64051A,112.68224568,2e-06,0.0,14.692,79.9011,16.3249,0.0096766,309.2973,49.963,13.91675815,7494,Unknown,Unknown
877,64053B,112.62809685,4.65e-06,0.0,11.703,65.0773,192.2002,0.004976,55.4858,305.0925,14.6103876,21988,SL-3 R/B,Visual
893,64063A,112.85140799,7.1e-07,0.0,8.8193,90.2248,65.4676,0.0026165,15.5766,12.0862,13.56283824,99505,Unknown,Unknown
