NORAD_ID,Int_Designator,Epoch_Day,First_Derivative,Second_Derivative,BSTAR,Inclination,RAAN,Eccentricity,Argument_of_Perigee,Mean_Anomaly,Mean_Motion,Revolution_Number,Name,Group
12729,81053BW,121.76295396,6.24e-06,0.0,77.519,83.0485,31.8555,0.0127292,174.5621,241.5555,13.59960797,2398,Unknown,Unknown
12736,81053CD,121.79122167,5.84e-06,0.0,75.668,83.0319,34.4418,0.012951,302.608,111.8991,13.57355025,15989,Unknown,Unknown
12741,81053CJ,121.91460682,1.22e-05,0.0,96.334,82.947,83.2904,0.0062521,163.9929,251.3878,13.8989778,20397,Unknown,Unknown
12743,81053CL,121.58628322,7.53e-06,0.0,70.228,82.9233,160.6202,0.0062872,255.7647,220.3694,13.7992798,19472,Unknown,Unknown
12808,81081C,121.56648536,-6e-07,0.0,2.3974,65.1158,194.9175,0.0037961,271.014,190.656,13.88650145,21546,Unknown,Unknown
12817,80057E,121.16562059,-9.62e-06,0.0,0.0,64.3696,56.8985,0.7106979,35.2896,355.3667,1.99839093,24096,COSMOS 1191 DEB,Gpz Plus
12818,81088A,121.60061713,1.51e-06,0.0,46.213,62.7614,219.6562,0.4864074,259.5526,44.2707,5.46230405,87033,Unknown,Unknown
12860,77121AN,121.88926197,2.86e-06,0.0,43.794,65.8041,286.0485,0.0125515,169.2499,341.3945,13.63339431,25562,Unknown,Unknown
12867,77121AV,121.75833791,2.61e-06,0.0,62.991,65.9476,254.9118,0.0081878,15.6456,93.8647,13.36841912,26590,Unknown,Unknown
12893,81031F,121.23184917,-1.091e-05,0.0,0.0,64.8681,35.5762,0.7079261,29.0809,356.2903,2.01194928,30380,COSMOS 1261 DEB,Gpz Plus
12894,81031G,121.32082277,-1.82e-06,0.0,0.0,69.4028,115.6321,0.5879064,0.6677,18.025,2.00508424,31335,COSMOS 1261 DEB,Gpz Plus
12897,81102A,121.91343006,-1.37e-06,0.0,0.0,7.6669,298.3362,0.00035,223.7302,105.5106,1.0024931,11328,RADUGA 10,Raduga
12907,78083E,121.8809123,4.9e-06,0.0,258.3,62.4438,74.2177,0.7432426,53.228,353.8248,2.00174639,32624,COSMOS 1030 DEB,Gpz Plus
12940,81108D,120.7902669,-5.53e-06,0.0,0.0,66.1162,283.9923,0.6589927,351.4237,1.133,1.99120683,31631,SL-6 R/B(2),Gpz Plus
12950,81053EE,121.57715896,1.74e-05,0.0,85.543,83.0126,43.2576,0.0053867,85.1278,328.024,14.16392151,24271,Unknown,Unknown
12977,81116C,121.66144144,8e-08,0.0,19.217,73.9827,200.0967,0.009262,118.9607,356.5579,12.28723197,94795,Unknown,Unknown
12980,81116F,121.50962468,-2e-07,0.0,-4.6067,73.9794,147.0187,0.0084735,58.369,56.1946,12.30130267,95017,Unknown,Unknown
12992,81016H,121.4451945,5.56e-06,0.0,0.0,68.4147,37.8982,0.6280481,354.0482,1.1057,2.0252291,22352,COSMOS 1247 DEB,Gpz Plus
12996,77092J,121.51092928,-1.77e-06,0.0,0.0,5.3632,280.3446,0.0012258,270.1608,126.455,1.00030328,8037,EKRAN 2 DEB,Gpz Plus
13000,81120D,121.88073947,-8.4e-07,0.0,-106.54,82.9564,284.6406,0.0017253,299.0794,181.7635,12.06911466,91082,Unknown,Unknown
13017,81053EP,121.78883486,1.757e-05,0.0,118.16,82.9289,253.032,0.0029232,335.716,148.2266,13.99928743,19974,Unknown,Unknown
13021,81053ET,121.75575796,2.681e-05,0.0,165.8,83.1446,239.9818,0.0018713,326.2235,187.8952,14.04870441,20217,Unknown,Unknown
13022,81053EU,121.80698729,2.168e-05,0.0,101.56,82.9168,231.5856,0.0045945,158.6744,329.1349,14.19260127,22741,Unknown,Unknown
13030,82001D,121.81036663,0.0005926,0.0,207.28,74.0032,356.5969,0.0005612,240.2252,119.8393,15.29229108,30968,Unknown,Unknown
13033,82003A,121.8924416,8e-07,0.0,6.9468,82.9384,109.1567,0.0030798,253.3325,171.2493,13.73428338,17001,Unknown,Unknown
13075,82015D,121.37029812,-1.6e-06,0.0,0.0,62.9459,155.0756,0.6970691,277.9907,14.508,1.98120001,31098,SL-6 R/B(2),Gpz Plus
13121,82027B,121.93486463,9.462e-05,0.0,39.055,81.1912,44.7837,0.0007782,249.9647,110.0749,15.23890146,35130,Unknown,Unknown
13154,82039B,121.73217673,5.179e-05,0.0,33.145,81.1811,214.3388,0.0032922,263.8551,95.8922,15.07964817,33486,SL-3 R/B,Visual
13164,82040E,121.7602725,1.4e-07,0.0,20.319,74.0127,210.9456,0.0013683,68.0243,109.1566,12.48203424,95897,Unknown,Unknown
13168,82040J,121.45462205,-7.8e-07,0.0,-58.457,74.0464,141.0158,0.0135241,116.6462,244.8498,12.22892392,91929,Unknown,Unknown
13169,82029D,121.46831925,6.9e-07,0.0,0.0,71.6839,346.4884,0.5460386,324.741,9.1552,2.04133305,32059,Unknown,Unknown
13205,82045A,121.20989133,-7e-07,0.0,0.0,71.7276,82.3162,0.5054019,335.5964,6.9584,2.00541111,31462,Unknown,Unknown
13261,82055C,121.78526321,-2.1e-07,0.0,6.4635,65.8327,133.3931,0.0017352,229.9048,303.0021,13.72845147,14989,Unknown,Unknown
13269,82058A,121.55037296,-2.22e-06,0.0,0.0,13.5155,340.1021,0.0015813,265.5617,284.8702,0.99214998,11544,Unknown,Unknown
13298,82064D,121.15259296,7.67e-06,0.0,0.0,66.6994,110.2564,0.6490906,15.5374,357.3247,2.03257864,24138,SL-6 R/B(2),Gpz Plus
13456,81053FC,121.79073595,4.875e-05,0.0,386.76,82.8333,317.8179,0.0148206,141.5119,236.1743,13.86131629,15531,Unknown,Unknown
13468,81053FQ,121.70716771,2.343e-05,0.0,180.05,82.702,113.0962,0.0061688,285.9139,122.0402,13.91871999,16015,Unknown,Unknown
13490,81053GL,121.87480953,6.73e-06,0.0,65.312,82.835,57.3017,0.00658,159.9043,264.8623,13.7728463,15275,Unknown,Unknown
13497,78063C,121.92545013,4.942e-05,0.0,92.445,74.0531,63.8465,0.0010375,355.2906,66.3034,14.65098398,26982,Unknown,Unknown
13501,76067BB,120.81451293,8.04e-06,0.0,323.96,66.0307,249.5626,0.0629441,307.2977,215.8485,12.39836532,99012,Unknown,Unknown
13505,77121BC,121.88062627,1.527e-05,0.0,213.41,65.3579,30.9447,0.0038385,269.2696,179.3269,13.60252377,20121,Unknown,Unknown
13518,70025NR,121.90609088,2.588e-05,0.0,224.13,100.0223,241.7789,0.0005947,148.3329,330.4485,13.87302147,19394,Unknown,Unknown
13525,73086GN,121.83906538,1.11e-06,0.0,100.1,101.895,95.3273,0.0078071,52.3037,339.4882,12.51135152,4587,Unknown,Unknown
13527,74089EN,121.85984152,-7.7e-07,0.0,-15.083,102.9157,84.8966,0.0321572,261.0241,123.7245,12.42850244,2027,Unknown,Unknown
13530,76077EC,121.51837752,3.35e-06,0.0,290.14,102.3317,221.1011,0.0116935,34.5436,337.4854,12.3678598,1195,Unknown,Unknown
13532,76077EE,121.36839112,-9.9e-07,0.0,-68.729,102.2173,83.8425,0.0285755,334.3202,181.2647,11.94024352,91266,Unknown,Unknown
13534,76077EG,121.971096,3.4e-07,0.0,99.967,101.8083,292.318,0.0399562,151.4459,6.4246,11.68316882,97766,Unknown,Unknown
13537,76077EK,121.90396309,5e-08,0.0,44.559,102.5063,101.159,0.0074651,302.8982,126.6263,12.27213728,8316,Unknown,Unknown
13538,76077EL,121.48398889,4.8e-07,0.0,82.567,101.9968,122.3354,0.0110004,112.6835,41.7409,12.22067897,99615,Unknown,Unknown
13564,78026FB,121.82527911,1.184e-05,0.0,86.668,98.8567,74.5374,0.0202937,358.3734,54.2703,13.88456658,16389,Unknown,Unknown
13571,78026FJ,121.90963983,8.559e-05,0.0,173.6,98.467,111.7523,0.0018083,144.1521,281.1392,14.61351962,29357,Unknown,Unknown
13609,82100G,121.54867338,0.00012843,0.0,231.87,52.0528,346.054,0.4798499,81.4203,328.2526,5.94777256,79001,Unknown,Unknown
13618,82102B,121.71452301,5.3e-07,0.0,3.8037,82.9686,170.3461,0.0031795,4.7236,134.6781,13.77012033,13695,Unknown,Unknown
13637,82106B,121.60407141,-1.04e-06,0.0,0.0,12.8703,336.4108,0.0018416,185.7738,22.9531,0.97827205,11270,Unknown,Unknown
13652,82110C,121.63779981,-3.1e-06,0.0,0.0,12.9178,337.0662,0.0001569,94.7667,164.2796,0.99915988,16433,ANIK C3 (TELESAT 5),Gpz Plus
13758,83001B,121.87340238,7.2e-07,0.0,5.5676,82.9089,314.5358,0.0027023,189.8945,170.1685,13.79108647,12794,Unknown,Unknown
13761,83002A,121.81159292,1.1e-07,0.0,18.921,74.0267,46.9632,0.00326,22.4814,7.0223,12.43431903,91951,Unknown,Unknown
13766,83002F,121.89124666,1e-07,0.0,16.015,74.0277,10.526,0.0023309,138.7514,300.5598,12.53815162,93552,Unknown,Unknown
13782,83006A,121.77778278,-1.48e-06,0.0,0.0,10.9617,323.1386,0.0009658,324.3779,31.3112,0.99410651,12380,Unknown,Unknown
13797,81053GR,121.91253811,6.71e-06,0.0,56.7,82.8349,262.9014,0.0049836,342.087,146.3513,13.85846488,14678,Unknown,Unknown
13802,81053GW,121.81932521,1.164e-05,0.0,110.93,82.8037,34.561,0.0060426,296.1596,124.4688,13.79140251,16892,Unknown,Unknown
13900,79015D,121.71148793,4e-07,0.0,0.0,5.4134,282.2144,0.0009205,317.7078,80.8541,1.01341666,12287,Unknown,Unknown
